Date,Track,Race Name,Race,Market,Selection,Number,Horse,RP,WIN_RESULT,WIN_BSP,PLACE_RESULT,PLACE_BSP,Value,,
1/01/2024,Canterbury,R5 1550m Hcap,5,222976009,49807639,5,Lalaguna,9.47,0,15.59,0,4.46,0.041452939,,
1/01/2024,Canterbury,R5 1550m Hcap,5,222976009,53184133,2,My Truth,13.48,0,8.39,0,3.14,-0.045005535,,
1/01/2024,Canterbury,R5 1550m Hcap,5,222976009,63083970,3,Hellfire Express,7.71,1,8.15,1,2.6,0.0070023,,
1/01/2024,Canterbury,R5 1550m Hcap,5,222976009,64342675,4,Ballistic Therapy,9.09,0,7.6,0,2.97,-0.021567946,,
1/01/2024,Canterbury,R5 1550m Hcap,5,222976009,64342676,6,Smart As Smart,23.16,0,26,0,6.6,0.004716354,,
1/01/2024,Canterbury,R5 1550m Hcap,5,222976009,64342678,8,This Is The Moment,12.77,0,19,0,4.4,0.025676957,,
1/01/2024,Canterbury,R5 1550m Hcap,5,222976009,64342679,9,Utopian Wine,3.83,0,5.16,1,1.91,0.067298156,,
1/01/2024,Canterbury,R5 1550m Hcap,5,222976009,64342680,10,How Much Better,11.08,0,12,0,3.13,0.006919374,,
1/01/2024,Canterbury,R6 1900m Hcap,6,222976017,2322849,5,Brynner,14.52,0,12.93,0,3.35,-0.008468997,,
1/01/2024,Canterbury,R6 1900m Hcap,6,222976017,38838736,4,Bak Da Man,17.82,0,16.21,0,4.79,-0.005573592,,
1/01/2024,Canterbury,R6 1900m Hcap,6,222976017,45022982,12,Whisker To Whisker,13.8,0,9.27,0,3.04,-0.035411097,,
1/01/2024,Canterbury,R6 1900m Hcap,6,222976017,49039746,6,Ring Ahoy,3.47,0,4.8,1,1.81,0.079851105,,
1/01/2024,Canterbury,R6 1900m Hcap,6,222976017,51202739,15,Tip Top Timing,27.22,0,24.79,1,7.43,-0.003601153,,
1/01/2024,Canterbury,R6 1900m Hcap,6,222976017,51454527,11,Frankies Me Dad,26.27,0,38,0,9.95,0.011750446,,
1/01/2024,Canterbury,R6 1900m Hcap,6,222976017,52841659,3,Genetic Freak,6.67,0,7.18,0,2.63,0.010649271,,
1/01/2024,Canterbury,R6 1900m Hcap,6,222976017,64342682,1,Yankee Hussel,7.21,1,5.6,1,2.24,-0.039875173,,
1/01/2024,Canterbury,R6 1900m Hcap,6,222976017,64342683,7,Venetian Blue,8.01,0,6.57,0,2.52,-0.027363056,,
1/01/2024,Canterbury,R6 1900m Hcap,6,222976017,64342684,13,So Sneeky,38.51,0,21.38,0,7,-0.020805404,,
1/01/2024,Canterbury,R7 1200m Listed,7,222976025,463751,8,Spaceboy,42.45,0,36,0,7.18,-0.004220652,,
1/01/2024,Canterbury,R7 1200m Listed,7,222976025,49297322,4,Sinawann,9.27,0,5.6,0,1.92,-0.070696563,,
1/01/2024,Canterbury,R7 1200m Listed,7,222976025,52013952,1,Insurrection,4.36,1,5.2,1,2,0.037050106,,
1/01/2024,Canterbury,R7 1200m Listed,7,222976025,52670717,5,Zou Tiger,7.94,0,6.03,0,1.93,-0.039892895,,
1/01/2024,Canterbury,R7 1200m Listed,7,222976025,64342685,3,Recommendation,5.02,0,7.27,1,2.36,0.061651605,,
1/01/2024,Canterbury,R7 1200m Listed,7,222976025,64342686,6,Brudenell,3.85,0,4.64,0,1.64,0.044223018,,
