Date,Track,Race Name,Race,MarketID,SelectionID,Number,Horse,Rank,WIN_RESULT,WIN_BSP,PLACE_RESULT,PLACE_BSP
1/01/2024,Inverell,R6 1050m Hcap,6,223037015,64342625,2,Timely Bel,5,0,7.19,1,2.12
1/01/2024,Inverell,R7 1400m Cup,7,223037020,39466070,2,Office Jim,1,0,2.56,1,1.35
1/01/2024,Inverell,R7 1400m Cup,7,223037020,42859944,7,Crystal Chief,2,0,4.98,0,2.1
1/01/2024,Inverell,R7 1400m Cup,7,223037020,605742,8,Smoke Bomb,3,0,17.1,0,4.6
1/01/2024,Inverell,R7 1400m Cup,7,223037020,38779288,6,Little Prophet,4,0,12.12,0,3.45
1/01/2024,Inverell,R7 1400m Cup,7,223037020,27944637,4,Red Beryl,5,0,16.7,0,3.7
1/01/2024,Inverell,R8 1200m CL3,8,223037025,56357763,1,Iobject,1,0,9.8,0,2.65
1/01/2024,Inverell,R8 1200m CL3,8,223037025,47462355,5,Pull The Tail,2,0,3.4,1,1.8
1/01/2024,Inverell,R8 1200m CL3,8,223037025,51476488,8,Albanjo,3,0,7.35,0,2.18
1/01/2024,Inverell,R8 1200m CL3,8,223037025,45919318,4,Tarbena,4,0,59.07,0,15
1/01/2024,Inverell,R8 1200m CL3,8,223037025,62869289,2,Wiggles,5,1,5.8,1,2.1
1/01/2024,Longford,R1 1800m Mdn,1,223040527,51809601,2,King Kurt,1,1,5.45,1,1.82
1/01/2024,Longford,R1 1800m Mdn,1,223040527,46862085,4,Falcula,2,0,6.2,0,1.94
1/01/2024,Longford,R1 1800m Mdn,1,223040527,64367222,8,Rather Tough,3,0,9.19,0,2.76
1/01/2024,Longford,R1 1800m Mdn,1,223040527,64367220,3,Rocheaux,4,0,22.34,0,4.58
1/01/2024,Longford,R1 1800m Mdn,1,223040527,64367221,7,The Tazwegian,5,0,5.86,1,2.04
1/01/2024,Longford,R2 1400m Mdn,2,223040533,414571,1,Puma,1,1,2.32,1,1.23
1/01/2024,Longford,R2 1400m Mdn,2,223040533,64367225,5,Pinandi,2,0,4.61,0,1.56
1/01/2024,Longford,R2 1400m Mdn,2,223040533,62097591,7,Phere The Girls,3,0,16.89,0,3.21
1/01/2024,Longford,R2 1400m Mdn,2,223040533,64367226,8,Wednesdays Boss,4,0,6,1,1.84
1/01/2024,Longford,R2 1400m Mdn,2,223040533,9406724,9,Ponsford,5,0,14.5,0,3.1
1/01/2024,Longford,R3 1400m Hcap,3,223040539,2238092,1,Jeremiah,1,0,6.99,1,2.43
1/01/2024,Longford,R3 1400m Hcap,3,223040539,12247541,2,Willby Rules,2,0,30,0,5.97
1/01/2024,Longford,R3 1400m Hcap,3,223040539,40940234,6,Wanes Quest,3,0,4.18,0,1.85
1/01/2024,Longford,R3 1400m Hcap,3,223040539,1228420,3,Eagle Street,4,0,28.58,0,5.95
1/01/2024,Longford,R3 1400m Hcap,3,223040539,64367230,7,Cheeky Word,5,1,6.6,1,1.96
1/01/2024,Longford,R4 2400m Hcap,4,223040545,42412984,7,Indigo Girls,1,0,3.08,1,1.36
1/01/2024,Longford,R4 2400m Hcap,4,223040545,40688022,4,Kay Oh Ell,2,0,4.44,0,1.67
1/01/2024,Longford,R4 2400m Hcap,4,223040545,45368005,3,Doonican,3,0,4.76,0,1.62
1/01/2024,Longford,R4 2400m Hcap,4,223040545,40940237,1,Chi Mazel,4,0,16.5,1,4.08
1/01/2024,Longford,R4 2400m Hcap,4,223040545,36010325,5,Captain Morgan,5,1,14,1,3.3
