Tipster_Name,MeetingDate,TrackName,Content,International_Meeting,Racing_Code,Race,Selection,BettingStrategy,MarketType,RP,SelectionName,Stake,BestBet,Market_ID,Selection_ID,MBR,RESULT,BSP,PROFIT_BSP,PROFIT_BSP_RP,PROFIT_BESTBET
Linton Chataway,18/05/2024,Doomben,EXPERT TIPS,FALSE,Thoroughbred,8,1,BACK,WIN,2.5,1. I Wish I Win,1,,228961306,40689723,7,0,2.34,-1,0,0
Glenn Ingram,18/05/2024,Echuca,LATE MAIL,FALSE,Thoroughbred,2,8,BACK,WIN,4.2,8. Thinking Of Gerty,2,BEST BET,228989164,69421763,7,1,5.74,8.82,8.82,8.82
Jackson Oldham,18/05/2024,Flemington,EXPERT TIPS,FALSE,Thoroughbred,2,6,BACK,WIN,4.6,6. Euphoric,2,,228959653,2357320,7,0,7.26,-2,-2,0
Jackson Oldham,18/05/2024,Flemington,EXPERT TIPS,FALSE,Thoroughbred,3,7,BACK,WIN,2.2,7. Niance,3,,228959661,51454158,7,1,2.82,5.08,5.08,0
Jackson Oldham,18/05/2024,Flemington,EXPERT TIPS,FALSE,Thoroughbred,4,2,BACK,WIN,3.4,2. Modown,2,,228959669,68638397,7,0,4.03,-2,-2,0
Jackson Oldham,18/05/2024,Flemington,EXPERT TIPS,FALSE,Thoroughbred,4,8,BACK,WIN,4.9,8. Flying Fizz,1,,228959669,69390240,7,0,6.48,-1,-1,0
Jackson Oldham,18/05/2024,Flemington,EXPERT TIPS,FALSE,Thoroughbred,5,11,BACK,WIN,2.7,11. Sisterhood,4,BEST BET,228959677,9404610,7,0,6.81,-4,-4,-4
Jackson Oldham,18/05/2024,Flemington,EXPERT TIPS,FALSE,Thoroughbred,7,6,LAY,WIN,6,6. Steparty,3,BEST BET,228959693,62355796,7,0,5.18,0.67,0.67,0.67
Jackson Oldham,18/05/2024,Flemington,EXPERT TIPS,FALSE,Thoroughbred,8,3,BACK,WIN,7,3. Excelleration,1,,228959701,12576767,7,0,8.29,-1,-1,0
Jackson Oldham,18/05/2024,Flemington,EXPERT TIPS,FALSE,Thoroughbred,10,1,BACK,WIN,4.1,1. Shesallshenanigans,1,,228959717,61593431,7,0,3.51,-1,0,0
Joshua Ingram,18/05/2024,Kembla Grange,EXPERT TIPS,FALSE,Thoroughbred,1,5,BACK,WIN,0,5. Monte Braveheart,2,BEST BET,228988759,68157194,10,0,2.97,-2,-2,-2
Joshua Ingram,18/05/2024,Kembla Grange,EXPERT TIPS,FALSE,Thoroughbred,6,6,BACK,WIN,0,6. Lulumon,1,,228988784,69421346,10,0,1.66,-1,-1,0
Joshua Ingram,18/05/2024,Kembla Grange,EXPERT TIPS,FALSE,Thoroughbred,6,8,BACK,WIN,0,8. Dylans Lad,1,,228988784,60528576,10,0,8.56,-1,-1,0
Joshua Ingram,18/05/2024,Kembla Grange,EXPERT TIPS,FALSE,Thoroughbred,6,7,BACK,WIN,0,7. Chief Witness,1,,228988784,69421347,10,0,18.35,-1,-1,0
Brett & Darren Carroll,18/05/2024,Melton,EXPERT TIPS,FALSE,Harness,1,9,LAY,WIN,7.5,9. Ollivici,3,BEST BET,228989279,40878751,7,0,3.55,1.09,1.09,1.09
