DATE,VENUE,tipster,market_id,selection_id,bet_type,bet_text,SELECTION_NAME,WIN_LOSE,BSP,Tipster_Profit,Back_Profit,Lay_Profit,
22/10/2023,Hobart,Jamie Cockshutt,219968763,28223722,Back,Back 12. Laid Back Kenny,12. Laid Back Kenny,0,2.98,-1.00,-1.00,0.51,
22/10/2023,Hobart,Jamie Cockshutt,219968765,20742317,Back,Back 5. Im Quite America,5. Im Quite American,0,3.27,-1.00,-1.00,0.44,
22/10/2023,Naracoorte,Lachlan Mosley,219964450,1162793,Back,Back 4. Aesculus,4. Aesculus,0,12.53,-1.00,-1.00,0.09,
22/10/2023,Naracoorte,Lachlan Mosley,219964456,61861122,Back,Back 7. Chipson,7. Chipson,0,3.91,-1.00,-1.00,0.34,
22/10/2023,Naracoorte,Lachlan Mosley,219964462,58069368,Back,Back 11. Disco Tilmorn,11. Disco Tilmorn,0,3.58,-1.00,-1.00,0.39,
22/10/2023,Naracoorte,Lachlan Mosley,220014969,41843752,Back,Back 6. Aunty Doll,6. Aunty Doll,0,8.20,-1.00,-1.00,0.14,
22/10/2023,Seymour,Chris Camilleri,219965282,61896504,Lay,Lay 2. Capre Omnia,2. Capre Omnia,1,1.62,-1.00,0.62,-1.00,
22/10/2023,Seymour,Chris Camilleri,219965289,59958376,Back,Back 8. Steal The Sun,8. Steal The Sun,0,3.26,-1.00,-1.00,0.44,
22/10/2023,Seymour,Chris Camilleri,219965296,51203415,Back,Back 5. Oubitsa,5. Oubitsa,1,3.05,2.05,2.05,-1.00,
22/10/2023,Seymour,Chris Camilleri,219965303,55013365,Back,Back 5. Roaring Engine,5. Roaring Engine,0,7.20,-1.00,-1.00,0.16,
22/10/2023,Seymour,Chris Camilleri,219965317,1405585,Back,Back 7. Sans Doute,7. Sans Doute,0,2.86,-1.00,-1.00,0.54,
23/10/2023,Ballarat,Michael Tye,220067126,60906597,Back,Back 8. Sippy Cup Emu,Sippy Cup Emu,0,5.23,-1.00,-1.00,0.24,
23/10/2023,Ballarat,Michael Tye,220067131,46862795,Lay,Lay 1. Tinker Charles,Tinker Charles,0,5.50,0.22,-1.00,0.22,
23/10/2023,Ballarat,Michael Tye,220067146,55206564,Back,Back 4. Hatenna Bale,Hatenna Bale,0,4.31,-1.00,-1.00,0.30,
23/10/2023,Ballarat,Michael Tye,220067151,50758624,Back,Back 8. Savannah Riot,Savannah Riot,1,1.79,0.79,0.79,-1.00,
23/10/2023,Ballarat,Michael Tye,220067156,47760403,Back,Back 3. Stars Hope,Stars Hope,0,5.48,-1.00,-1.00,0.22,
23/10/2023,Gawler,Mark Lawrence,220007984,16396648,Back,Back 4. Sir Ed,Sir Ed,1,1.69,0.69,0.69,-1.00,
23/10/2023,Gawler,Mark Lawrence,220007990,61903392,Back,Back 9. Sunset Jay Jay,Sunset Jay Jay,1,1.22,0.22,0.22,-1.00,
23/10/2023,Gawler,Mark Lawrence,220007992,22057344,Lay,Lay 5. White Star Vill,White Star Village,0,28.00,0.04,-1.00,0.04,
23/10/2023,Warrnambool,Glenn Ingram,219969291,61932244,Back,Back 5. Bellakai,Bellakai,0,2.66,-1.00,-1.00,0.60,
23/10/2023,Yarra Valley,Darren And Brett Carroll,220007226,61897265,Back,Back 2. Thunda Struck,Thunda Struck,1,2.93,1.93,1.93,-1.00,
23/10/2023,Yarra Valley,Darren And Brett Carroll,220007228,61897269,Back,Back 10. Chappy Streetno,Chappy Streetnorth,0,2.40,-1.00,-1.00,0.71,
23/10/2023,Yarra Valley,Darren And Brett Carroll,220007230,61897273,Lay,Lay 10. Raised On Leat,Raised On Leather,0,3.10,0.48,-1.00,0.48,
23/10/2023,Yarra Valley,Darren And Brett Carroll,220007232,45396702,Lay,Lay 1. Sweet Annie May,Sweet Annie May,1,3.67,-1.00,2.67,-1.00,
24/10/2023,Bendigo,Darren And Brett Carroll,220066798,45120390,Back,Back 3. Guaranteed Secre,Guaranteed Secret,0,4.60,-1.00,-1.00,0.28,
24/10/2023,Bendigo,Darren And Brett Carroll,220066804,40129460,Back,Back 8. Salsboy,Salsboy,0,12.41,-1.00,-1.00,0.09,
