Date,Track,Race Name,Race,Market,Selection,Number,Horse,RP,WIN_RESULT,WIN_BSP,PLACE_RESULT,PLACE_BSP,Value
2024-01-01,Burrumbeet,R2 1000m Mdn,2,223034950,62432743,8,Anglesea Tilda,3.63,0.0,3.68,0.0,1.37,0.003742963229129259
2024-01-01,Burrumbeet,R2 1000m Mdn,2,223034950,63402575,3,Clear Mission,3.67,0.0,2.27,1.0,1.28,-0.1680490703285359
2024-01-01,Burrumbeet,R2 1000m Mdn,2,223034950,64343430,2,War Songs,203.29,0.0,487.6,0.0,71.36,0.002868219753875653
2024-01-01,Burrumbeet,R2 1000m Mdn,2,223034950,64343431,5,Heres To Jane,77.53,0.0,59.8,0.0,6.77,-0.0038241750846689185
2024-01-01,Burrumbeet,R2 1000m Mdn,2,223034950,64343432,6,Let Her Rain,6.12,1.0,7.18,1.0,1.8,0.02412292679374442
2024-01-01,Burrumbeet,R2 1000m Mdn,2,223034950,64343433,9,Blessington,6.97,0.0,19.32,1.0,3.23,0.09171218858699365
2024-01-01,Burrumbeet,R2 1000m Mdn,2,223034950,64343434,10,Midnight Poker,16.31,,,,,
2024-01-01,Burrumbeet,R3 1350m Mdn,3,223034957,1244901,5,Grand Illusion,25.71,0.0,75.73,0.0,8.8,0.025690564901213308
2024-01-01,Burrumbeet,R3 1350m Mdn,3,223034957,42351526,11,Dashingdaria,146.0,0.0,290.0,0.0,25.97,0.003401039206424185
2024-01-01,Burrumbeet,R3 1350m Mdn,3,223034957,499424,8,Intrusive,3.86,0.0,5.58,0.0,1.74,0.07985588797890322
2024-01-01,Burrumbeet,R3 1350m Mdn,3,223034957,59453497,3,Lonjourno,3.03,0.0,1.69,1.0,1.2,-0.26168297303103094
2024-01-01,Burrumbeet,R3 1350m Mdn,3,223034957,63893939,7,Precious Conflict,15.96,0.0,22.0,1.0,3.05,0.017202096149464566
2024-01-01,Burrumbeet,R3 1350m Mdn,3,223034957,64343435,9,Glorious Machine,12.33,1.0,15.5,1.0,2.77,0.01658687177877194
2024-01-01,Burrumbeet,R3 1350m Mdn,3,223034957,64343436,10,Hava Craicin Time,16.38,0.0,16.85,0.0,2.78,0.0017028800411589828
2024-01-01,Burrumbeet,R3 1350m Mdn,3,223034957,64343437,12,Prancingintherain,6.23,0.0,15.0,0.0,2.48,0.09384697699304441
2024-01-01,Burrumbeet,R4 1350m Hcap,4,223034964,22255273,3,Fabians Spirit,7.42,0.0,6.67,0.0,2.18,-0.015154147993388767
2024-01-01,Burrumbeet,R4 1350m Hcap,4,223034964,22397039,6,Copthorne,11.91,1.0,24.0,1.0,5.6,0.04229638958858103
2024-01-01,Burrumbeet,R4 1350m Hcap,4,223034964,32456381,9,High Delta,9.08,0.0,11.5,0.0,2.83,0.023175636851177933
2024-01-01,Burrumbeet,R4 1350m Hcap,4,223034964,38125230,7,Gem Edition,6.56,0.0,13.0,0.0,3.05,0.07551594746716697
2024-01-01,Burrumbeet,R4 1350m Hcap,4,223034964,39811021,2,Caboteur,6.45,0.0,7.73,1.0,2.6,0.02567265360971549
2024-01-01,Burrumbeet,R4 1350m Hcap,4,223034964,43858362,8,Epsom Magic,9.46,0.0,6.86,1.0,2.78,-0.040064349509057615
2024-01-01,Burrumbeet,R4 1350m Hcap,4,223034964,44993921,1,Lovano,13.6,0.0,4.8,0.0,1.89,-0.13480392156862747
2024-01-01,Burrumbeet,R4 1350m Hcap,4,223034964,64343439,4,Sir William Bruce,5.42,0.0,6.68,0.0,2.34,0.03480124621605496
2024-01-01,Burrumbeet,R5 1350m Hcap,5,223034971,36581396,2,Fantastic Baby,187.45,0.0,85.54,0.0,27.35,-0.006355681287436138
2024-01-01,Burrumbeet,R5 1350m Hcap,5,223034971,45319809,5,Tatsuro,13.28,0.0,15.0,1.0,5.24,0.00863453815261045
2024-01-01,Burrumbeet,R5 1350m Hcap,5,223034971,46292045,8,Pontificate,5.49,0.0,8.62,0.0,3.4,0.06614008173477191
2024-01-01,Burrumbeet,R5 1350m Hcap,5,223034971,46520415,1,Sold Tha Car,5.6,0.0,6.4,0.0,2.54,0.022321428571428575
2024-01-01,Burrumbeet,R5 1350m Hcap,5,223034971,64343440,3,Kathys Beau,4.97,1.0,7.56,1.0,2.87,0.0689321111856323
2024-01-01,Burrumbeet,R5 1350m Hcap,5,223034971,64343441,4,Sistine Explorer,2.8,0.0,1.99,0.0,1.39,-0.14536970567121316
2024-01-01,Burrumbeet,R6 1800m Hcap,6,223034978,17873592,4,Diplomac Jack,7.09,0.0,7.6,0.0,2.5,0.009464776185880791
2024-01-01,Burrumbeet,R6 1800m Hcap,6,223034978,22721457,7,Davelliom,56.56,0.0,100.0,0.0,15.05,0.00768033946251768
2024-01-01,Burrumbeet,R6 1800m Hcap,6,223034978,26083247,3,Ziggi Rocks,6.18,1.0,12.0,1.0,3.15,0.07847896440129452
2024-01-01,Burrumbeet,R6 1800m Hcap,6,223034978,28331724,9,Little Richie Turf,61.86,0.0,90.0,0.0,12.54,0.0050544239681000105
2024-01-01,Burrumbeet,R6 1800m Hcap,6,223034978,36700977,5,Bannerton,4.53,0.0,4.0,1.0,1.56,-0.02924944812362032
2024-01-01,Burrumbeet,R6 1800m Hcap,6,223034978,40061996,2,Equine Philosopher,11.68,0.0,7.89,0.0,2.32,-0.041126273937878724
2024-01-01,Burrumbeet,R6 1800m Hcap,6,223034978,41774543,10,Ahtohallan,180.98,0.0,298.87,0.0,46.0,0.002179536067602158
2024-01-01,Burrumbeet,R6 1800m Hcap,6,223034978,49807124,8,Jackand,6.55,0.0,5.82,1.0,1.85,-0.019149550116733555
2024-01-01,Burrumbeet,R6 1800m Hcap,6,223034978,51295207,1,Extra Elusive,5.03,0.0,5.0,0.0,2.08,-0.0011928429423459508
2024-01-01,Burrumbeet,R7 1000m Hcap,7,223034985,19818340,2,Daskulya,3.77,0.0,4.6,1.0,1.79,0.04786068504209434
2024-01-01,Burrumbeet,R7 1000m Hcap,7,223034985,20600124,3,Foxys Star,21.64,0.0,33.63,0.0,6.6,0.01647536554974956
2024-01-01,Burrumbeet,R7 1000m Hcap,7,223034985,22552493,13,Unique Bambino,9.68,0.0,6.65,0.0,2.34,-0.04707015472565711
