EVENT_DATE,EVENT_ID,MATCH,MARKET_TYPE,MARKET_NAME,MARKET_ID
6/08/2022,31531631,Leeds v Wolves,,Wolves Over/Under 1.5 Goals,200235340
6/08/2022,31531631,Leeds v Wolves,,Wolves Over/Under 2.5 Goals,200235341
6/08/2022,31531631,Leeds v Wolves,,Half Time/Full Time,200235228
6/08/2022,31531631,Leeds v Wolves,,First Half Goals 2.5,200235286
6/08/2022,31531631,Leeds v Wolves,,Match Odds,200235289
6/08/2022,31531631,Leeds v Wolves,,Leeds +3,200235279
6/08/2022,31531631,Leeds v Wolves,,Match Odds and Both Teams to Score,200235222
6/08/2022,31531631,Leeds v Wolves,,Half Time Score,200235221
6/08/2022,31531631,Leeds v Wolves,,Over/Under 3.5 Goals,200235240
6/08/2022,31531631,Leeds v Wolves,,Correct Score,200235299
6/08/2022,31531631,Leeds v Wolves,,Match Odds and Over/Under 2.5 goals,200235301
6/08/2022,31531631,Leeds v Wolves,,Match Odds,200235213
6/08/2022,31531631,Leeds v Wolves,,Double Chance,200235291
6/08/2022,31531631,Leeds v Wolves,,First Half Goals 1.5,200235295
6/08/2022,31531631,Leeds v Wolves,,Leeds +2,200235276
6/08/2022,31531631,Leeds v Wolves,,Draw No Bet,200235275
6/08/2022,31531631,Leeds v Wolves,,Over/Under 0.5 Goals,200235294
6/08/2022,31531631,Leeds v Wolves,,Wolves +2,200235280
6/08/2022,31531631,Leeds v Wolves,,Over/Under 3.5 Goals,200235220
6/08/2022,31531631,Leeds v Wolves,,Leeds Over/Under 2.5 Goals,200235337
6/08/2022,31531631,Leeds v Wolves,,Half Time Score,200235227
6/08/2022,31531631,Leeds v Wolves,,First Half Goals 0.5,200235293
6/08/2022,31531631,Leeds v Wolves,,Match Odds and Over/Under 3.5 Goals,200235338
6/08/2022,31531631,Leeds v Wolves,,Half Time,200235212
6/08/2022,31531631,Leeds v Wolves,,Leeds Over/Under 0.5 Goals,200235342
6/08/2022,31531631,Leeds v Wolves,,Leeds +1,200235292
6/08/2022,31531631,Leeds v Wolves,,Over/Under 1.5 Goals,200235229
6/08/2022,31531631,Leeds v Wolves,,Over/Under 5.5 Goals,200235298
6/08/2022,31531631,Leeds v Wolves,,Wolves Win to Nil,200235283
6/08/2022,31531631,Leeds v Wolves,,Over/Under 2.5 Goals,200235216
6/08/2022,31531631,Leeds v Wolves,,Both teams to Score?,200235287
6/08/2022,31531631,Leeds v Wolves,,Correct Score,200235219
6/08/2022,31531631,Leeds v Wolves,,Leeds Win to Nil,200235282
6/08/2022,31531631,Leeds v Wolves,,Over/Under 1.5 Goals,200235215
6/08/2022,31531631,Leeds v Wolves,,Over/Under 4.5 Goals,200235214
6/08/2022,31531631,Leeds v Wolves,,Wolves +3,200235281
6/08/2022,31531631,Leeds v Wolves,,Wolves Over/Under 0.5 Goals,200235343
6/08/2022,31531633,Newcastle v Nottm Forest,,Over/Under 1.5 Goals,200234927
6/08/2022,31531633,Newcastle v Nottm Forest,,Half Time Score,201698932
6/08/2022,31531633,Newcastle v Nottm Forest,,Match Odds,201698922
6/08/2022,31531633,Newcastle v Nottm Forest,,Over/Under 0.5 Goals,200234923
6/08/2022,31531633,Newcastle v Nottm Forest,,Over/Under 5.5 Goals,201698928
6/08/2022,31531633,Newcastle v Nottm Forest,,Match Odds,200234925
6/08/2022,31531633,Newcastle v Nottm Forest,,Half Time,201698927
6/08/2022,31531633,Newcastle v Nottm Forest,,Half Time,200234924
6/08/2022,31531633,Newcastle v Nottm Forest,,Half Time/Full Time,201698937
6/08/2022,31531633,Newcastle v Nottm Forest,,Over/Under 4.5 Goals,201698931
6/08/2022,31531633,Newcastle v Nottm Forest,,Over/Under 5.5 Goals,200234929
6/08/2022,31531633,Newcastle v Nottm Forest,,Over/Under 2.5 Goals,200234928
6/08/2022,31531633,Newcastle v Nottm Forest,,Over/Under 3.5 Goals,201698934
6/08/2022,31531633,Newcastle v Nottm Forest,,Over/Under 3.5 Goals,200234932
6/08/2022,31531633,Newcastle v Nottm Forest,,Correct Score,201698929
6/08/2022,31531633,Newcastle v Nottm Forest,,Match Odds and Both Teams to Score,200234934
6/08/2022,31531633,Newcastle v Nottm Forest,,Both teams to Score?,201698921
6/08/2022,31531633,Newcastle v Nottm Forest,,Over/Under 2.5 Goals,201698930
6/08/2022,31531633,Newcastle v Nottm Forest,,Correct Score,200234931
6/08/2022,31531633,Newcastle v Nottm Forest,,Over/Under 0.5 Goals,201698924
6/08/2022,31531633,Newcastle v Nottm Forest,,First Half Goals 1.5,201698925
6/08/2022,31531633,Newcastle v Nottm Forest,,First Half Goals 0.5,201698923
6/08/2022,31531633,Newcastle v Nottm Forest,,Over/Under 4.5 Goals,200234926
6/08/2022,31531633,Newcastle v Nottm Forest,,First Half Goals 2.5,201698920
6/08/2022,31531633,Newcastle v Nottm Forest,,Over/Under 1.5 Goals,201698933
6/08/2022,31531633,Newcastle v Nottm Forest,,Over/Under 4.5 Goals,200234938
6/08/2022,31531633,Newcastle v Nottm Forest,,Over/Under 1.5 Goals,200234941
6/08/2022,31531633,Newcastle v Nottm Forest,,Half Time/Full Time,200234940
