Player,Player,Nation,Age,Minutes,ShotsOnTargetAgainst,GoalsAgainst,Saves,Save%,HomeTeam,Away_Team,Date,PlayerTeam
Danny Vukovic,Danny Vukovic,AUS,31-293,90,3,0,3,100,Sydney FC,Western Sydney Wanderers,14/01/2017,Sydney FC
Paul Izzo,Paul Izzo,AUS,22-008,90,7,1,6,85.7,Wellington Phoenix,Central Coast Mariners,14/01/2017,Central Coast Mariners
Glen Moss,Glen Moss,NZL,33-361,90,1,0,1,100,Wellington Phoenix,Central Coast Mariners,14/01/2017,Wellington Phoenix
Liam Reddy,Liam Reddy,AUS,35-160,90,2,2,1,50,Newcastle Jets,Perth Glory,15/01/2017,Perth Glory
Jack Duncan,Jack Duncan,AUS,23-271,90,5,2,3,60,Newcastle Jets,Perth Glory,15/01/2017,Newcastle Jets
Lawrence Thomas,Lawrence Thomas,AUS,24-253,90,7,3,4,57.1,Wellington Phoenix,Melbourne Victory,17/01/2017,Melbourne Victory
Glen Moss,Glen Moss,NZL,33-364,90,2,0,2,100,Wellington Phoenix,Melbourne Victory,17/01/2017,Wellington Phoenix
Paul Izzo,Paul Izzo,AUS,22-013,90,9,2,7,77.8,Melbourne City,Central Coast Mariners,19/01/2017,Central Coast Mariners
Dean Bouzanis,Dean Bouzanis,AUS,26-109,90,1,1,0,0,Melbourne City,Central Coast Mariners,19/01/2017,Melbourne City
Eugene Galekovic,Eugene Galekovic,AUS,35-222,90,6,2,4,66.7,Sydney FC,Adelaide United,20/01/2017,Adelaide United
Danny Vukovic,Danny Vukovic,AUS,31-299,90,1,0,1,100,Sydney FC,Adelaide United,20/01/2017,Sydney FC
Lawrence Thomas,Lawrence Thomas,AUS,24-257,90,5,2,3,60,Perth Glory,Melbourne Victory,21/01/2017,Melbourne Victory
Liam Reddy,Liam Reddy,AUS,35-166,90,1,1,2,100,Perth Glory,Melbourne Victory,21/01/2017,Perth Glory
Michael Theo,Michael Theo,AUS,35-345,90,2,0,2,100,Wellington Phoenix,Brisbane Roar,21/01/2017,Brisbane Roar
Glen Moss,Glen Moss,NZL,34-002,90,6,1,5,83.3,Wellington Phoenix,Brisbane Roar,21/01/2017,Wellington Phoenix
Jack Duncan,Jack Duncan,AUS,23-278,90,6,2,4,66.7,Western Sydney Wanderers,Newcastle Jets,22/01/2017,Newcastle Jets
Vedran Janjetović,Vedran Janjetovic,AUS,29-155,90,1,0,1,100,Western Sydney Wanderers,Newcastle Jets,22/01/2017,Western Sydney Wanderers
Danny Vukovic,Danny Vukovic,AUS,31-305,90,6,1,5,83.3,Melbourne Victory,Sydney FC,26/01/2017,Sydney FC
Lawrence Thomas,Lawrence Thomas,AUS,24-262,90,5,2,3,60,Melbourne Victory,Sydney FC,26/01/2017,Melbourne Victory
Dean Bouzanis,Dean Bouzanis,AUS,26-117,90,3,2,1,33.3,Newcastle Jets,Melbourne City,27/01/2017,Melbourne City
Jack Duncan,Jack Duncan,AUS,23-283,90,3,1,3,100,Newcastle Jets,Melbourne City,27/01/2017,Newcastle Jets
Vedran Janjetović,Vedran Janjetovic,AUS,29-161,90,6,2,4,66.7,Brisbane Roar,Western Sydney Wanderers,28/01/2017,Western Sydney Wanderers
Michael Theo,Michael Theo,AUS,35-352,90,2,1,1,50,Brisbane Roar,Western Sydney Wanderers,28/01/2017,Brisbane Roar
Liam Reddy,Liam Reddy,AUS,35-173,82,2,2,1,50,Central Coast Mariners,Perth Glory,28/01/2017,Perth Glory
Nick Feely,Nick Feely,AUS,24-264,5,0,0,0,,Central Coast Mariners,Perth Glory,28/01/2017,Perth Glory
Paul Izzo,Paul Izzo,AUS,22-022,90,2,0,2,100,Central Coast Mariners,Perth Glory,28/01/2017,Central Coast Mariners
Glen Moss,Glen Moss,NZL,34-010,90,9,2,7,77.8,Adelaide United,Wellington Phoenix,29/01/2017,Wellington Phoenix
Eugene Galekovic,Eugene Galekovic,AUS,35-231,90,4,2,2,50,Adelaide United,Wellington Phoenix,29/01/2017,Adelaide United
Danny Vukovic,Danny Vukovic,AUS,31-313,90,8,0,8,100,Brisbane Roar,Sydney FC,3/02/2017,Sydney FC
Michael Theo,Michael Theo,AUS,35-358,90,7,0,7,100,Brisbane Roar,Sydney FC,3/02/2017,Brisbane Roar
Dean Bouzanis,Dean Bouzanis,AUS,26-125,90,4,2,3,50,Melbourne Victory,Melbourne City,4/02/2017,Melbourne City
Lawrence Thomas,Lawrence Thomas,AUS,24-271,90,4,1,3,75,Melbourne Victory,Melbourne City,4/02/2017,Melbourne Victory
Jack Duncan,Jack Duncan,AUS,23-291,90,4,3,2,50,Perth Glory,Newcastle Jets,4/02/2017,Newcastle Jets
Nick Feely,Nick Feely,AUS,24-271,90,5,2,3,60,Perth Glory,Newcastle Jets,4/02/2017,Perth Glory
Vedran Janjetović,Vedran Janjetovic,AUS,29-168,90,3,1,3,100,Wellington Phoenix,Western Sydney Wanderers,4/02/2017,Western Sydney Wanderers
Glen Moss,Glen Moss,NZL,34-016,90,7,3,4,57.1,Wellington Phoenix,Western Sydney Wanderers,4/02/2017,Wellington Phoenix
Eugene Galekovic,Eugene Galekovic,AUS,35-238,31,2,0,2,100,Central Coast Mariners,Adelaide United,5/02/2017,Adelaide United
John Hall,John Hall,AUS,22-105,59,5,2,3,60,Central Coast Mariners,Adelaide United,5/02/2017,Adelaide United
Paul Izzo,Paul Izzo,AUS,22-030,90,7,1,6,85.7,Central Coast Mariners,Adelaide United,5/02/2017,Central Coast Mariners
Glen Moss,Glen Moss,NZL,34-021,90,7,3,4,57.1,Sydney FC,Wellington Phoenix,9/02/2017,Wellington Phoenix
Danny Vukovic,Danny Vukovic,AUS,31-319,90,2,1,1,50,Sydney FC,Wellington Phoenix,9/02/2017,Sydney FC
Liam Reddy,Liam Reddy,AUS,35-186,90,3,0,3,100,Adelaide United,Perth Glory,10/02/2017,Perth Glory
John Hall,John Hall,AUS,22-110,90,6,5,2,16.7,Adelaide United,Perth Glory,10/02/2017,Adelaide United
Michael Theo,Michael Theo,AUS,36-000,90,2,2,1,50,Melbourne City,Brisbane Roar,11/02/2017,Brisbane Roar
Thomas Sørensen,Thomas Sorensen,DEN,40-244,90,5,2,4,80,Melbourne City,Brisbane Roar,11/02/2017,Melbourne City
Paul Izzo,Paul Izzo,AUS,22-037,90,4,0,4,100,Western Sydney Wanderers,Central Coast Mariners,12/02/2017,Central Coast Mariners
Vedran Janjetović,Vedran Janjetovic,AUS,29-176,90,3,2,2,66.7,Western Sydney Wanderers,Central Coast Mariners,12/02/2017,Western Sydney Wanderers
Lawrence Thomas,Lawrence Thomas,AUS,24-280,90,8,0,8,100,Newcastle Jets,Melbourne Victory,13/02/2017,Melbourne Victory
Jack Duncan,Jack Duncan,AUS,23-300,90,2,0,2,100,Newcastle Jets,Melbourne Victory,13/02/2017,Newcastle Jets
Jack Duncan,Jack Duncan,AUS,23-304,90,1,1,1,100,Adelaide United,Newcastle Jets,17/02/2017,Newcastle Jets
John Hall,John Hall,AUS,22-117,90,3,0,3,100,Adelaide United,Newcastle Jets,17/02/2017,Adelaide United
