DATE,HOME_TEAM,AWAY_TEAM,HOME_HT_SCORE,AWAY_HT_SCORE
17/11/2019,Brisbane Roar,Melbourne City,0,2
17/11/2019,Sydney FC,Melbourne Victory,0,1
22/11/2019,Western Sydney Wanderers,Melbourne City,1,0
23/11/2019,Adelaide United,Melbourne Victory,1,0
23/11/2019,Perth Glory,Sydney FC,1,1
23/11/2019,Wellington Phoenix,Brisbane Roar,1,0
24/11/2019,Central Coast Mariners,Western United,0,0
29/11/2019,Melbourne Victory,Perth Glory,1,0
30/11/2019,Brisbane Roar,Central Coast Mariners,0,0
30/11/2019,Newcastle Jets,Western Sydney Wanderers,0,0
1/12/2019,Adelaide United,Wellington Phoenix,0,0
1/12/2019,Western United,Sydney FC,0,2
6/12/2019,Melbourne City,Perth Glory,0,1
7/12/2019,Sydney FC,Brisbane Roar,3,0
7/12/2019,Wellington Phoenix,Western Sydney Wanderers,0,0
8/12/2019,Adelaide United,Newcastle Jets,1,0
8/12/2019,Western United,Melbourne Victory,3,1
13/12/2019,Brisbane Roar,Western United,0,2
14/12/2019,Melbourne Victory,Wellington Phoenix,0,0
14/12/2019,Perth Glory,Western Sydney Wanderers,1,0
14/12/2019,Sydney FC,Central Coast Mariners,1,0
15/12/2019,Newcastle Jets,Melbourne City,0,2
20/12/2019,Western Sydney Wanderers,Western United,0,0
21/12/2019,Melbourne City,Melbourne Victory,0,2
21/12/2019,Perth Glory,Newcastle Jets,2,1
21/12/2019,Wellington Phoenix,Sydney FC,2,1
22/12/2019,Central Coast Mariners,Adelaide United,2,0
27/12/2019,Adelaide United,Western Sydney Wanderers,1,1
28/12/2019,Newcastle Jets,Brisbane Roar,1,0
28/12/2019,Western United,Wellington Phoenix,0,1
29/12/2019,Sydney FC,Melbourne City,1,1
31/12/2019,Central Coast Mariners,Perth Glory,0,1
1/01/2020,Western Sydney Wanderers,Brisbane Roar,1,1
3/01/2020,Melbourne City,Western United,3,0
4/01/2020,Sydney FC,Adelaide United,2,1
4/01/2020,Wellington Phoenix,Central Coast Mariners,2,1
5/01/2020,Melbourne Victory,Newcastle Jets,1,0
10/01/2020,Newcastle Jets,Sydney FC,1,2
11/01/2020,Brisbane Roar,Melbourne City,2,1
11/01/2020,Perth Glory,Adelaide United,2,0
